Start on cuda:0!
22048 examples in training set and 9450 examples in validation set
epoch: 0, epoch_time: 37m39s, train_loss: 0.022, best_loss: 0.022, lr: 0.002, train_mIoU: 0.526, best_train_mIoU: 0.526, valid_mIoU: 0.599, best_valid_mIoU: 0.599
epoch: 1, epoch_time: 37m22s, train_loss: 0.021, best_loss: 0.021, lr: 0.002, train_mIoU: 0.563, best_train_mIoU: 0.563, valid_mIoU: 0.586, best_valid_mIoU: 0.599
epoch: 2, epoch_time: 36m51s, train_loss: 0.021, best_loss: 0.021, lr: 0.002, train_mIoU: 0.570, best_train_mIoU: 0.570, valid_mIoU: 0.570, best_valid_mIoU: 0.599
epoch: 3, epoch_time: 37m12s, train_loss: 0.020, best_loss: 0.020, lr: 0.002, train_mIoU: 0.578, best_train_mIoU: 0.578, valid_mIoU: 0.578, best_valid_mIoU: 0.599
epoch: 4, epoch_time: 37m25s, train_loss: 0.020, best_loss: 0.020, lr: 0.002, train_mIoU: 0.583, best_train_mIoU: 0.583, valid_mIoU: 0.584, best_valid_mIoU: 0.599
epoch: 5, epoch_time: 37m23s, train_loss: 0.020, best_loss: 0.020, lr: 0.002, train_mIoU: 0.594, best_train_mIoU: 0.594, valid_mIoU: 0.593, best_valid_mIoU: 0.599
epoch: 6, epoch_time: 37m26s, train_loss: 0.019, best_loss: 0.019, lr: 0.002, train_mIoU: 0.608, best_train_mIoU: 0.608, valid_mIoU: 0.582, best_valid_mIoU: 0.599
epoch: 7, epoch_time: 37m29s, train_loss: 0.019, best_loss: 0.019, lr: 0.002, train_mIoU: 0.614, best_train_mIoU: 0.614, valid_mIoU: 0.600, best_valid_mIoU: 0.600
epoch: 8, epoch_time: 37m23s, train_loss: 0.018, best_loss: 0.018, lr: 0.002, train_mIoU: 0.627, best_train_mIoU: 0.627, valid_mIoU: 0.606, best_valid_mIoU: 0.606
epoch: 9, epoch_time: 37m5s, train_loss: 0.018, best_loss: 0.018, lr: 0.002, train_mIoU: 0.629, best_train_mIoU: 0.629, valid_mIoU: 0.628, best_valid_mIoU: 0.628
epoch: 10, epoch_time: 36m55s, train_loss: 0.018, best_loss: 0.018, lr: 0.002, train_mIoU: 0.634, best_train_mIoU: 0.634, valid_mIoU: 0.617, best_valid_mIoU: 0.628
epoch: 11, epoch_time: 37m6s, train_loss: 0.018, best_loss: 0.018, lr: 0.002, train_mIoU: 0.636, best_train_mIoU: 0.636, valid_mIoU: 0.610, best_valid_mIoU: 0.628
epoch: 12, epoch_time: 36m51s, train_loss: 0.018, best_loss: 0.018, lr: 0.002, train_mIoU: 0.638, best_train_mIoU: 0.638, valid_mIoU: 0.629, best_valid_mIoU: 0.629
epoch: 13, epoch_time: 37m6s, train_loss: 0.018, best_loss: 0.018, lr: 0.002, train_mIoU: 0.639, best_train_mIoU: 0.639, valid_mIoU: 0.597, best_valid_mIoU: 0.629
epoch: 14, epoch_time: 36m57s, train_loss: 0.018, best_loss: 0.018, lr: 0.002, train_mIoU: 0.641, best_train_mIoU: 0.641, valid_mIoU: 0.607, best_valid_mIoU: 0.629
epoch: 15, epoch_time: 36m47s, train_loss: 0.018, best_loss: 0.018, lr: 0.002, train_mIoU: 0.643, best_train_mIoU: 0.643, valid_mIoU: 0.618, best_valid_mIoU: 0.629
epoch: 16, epoch_time: 37m20s, train_loss: 0.018, best_loss: 0.018, lr: 0.002, train_mIoU: 0.641, best_train_mIoU: 0.643, valid_mIoU: 0.598, best_valid_mIoU: 0.629
epoch: 17, epoch_time: 36m58s, train_loss: 0.018, best_loss: 0.018, lr: 0.002, train_mIoU: 0.642, best_train_mIoU: 0.643, valid_mIoU: 0.618, best_valid_mIoU: 0.629
epoch: 18, epoch_time: 37m36s, train_loss: 0.018, best_loss: 0.018, lr: 0.002, train_mIoU: 0.644, best_train_mIoU: 0.644, valid_mIoU: 0.612, best_valid_mIoU: 0.629
epoch: 19, epoch_time: 37m36s, train_loss: 0.018, best_loss: 0.018, lr: 0.002, train_mIoU: 0.645, best_train_mIoU: 0.645, valid_mIoU: 0.630, best_valid_mIoU: 0.630
epoch: 20, epoch_time: 37m17s, train_loss: 0.018, best_loss: 0.018, lr: 0.002, train_mIoU: 0.641, best_train_mIoU: 0.645, valid_mIoU: 0.612, best_valid_mIoU: 0.630
epoch: 21, epoch_time: 37m23s, train_loss: 0.018, best_loss: 0.018, lr: 0.002, train_mIoU: 0.639, best_train_mIoU: 0.645, valid_mIoU: 0.628, best_valid_mIoU: 0.630
epoch: 22, epoch_time: 37m27s, train_loss: 0.018, best_loss: 0.018, lr: 0.002, train_mIoU: 0.644, best_train_mIoU: 0.645, valid_mIoU: 0.591, best_valid_mIoU: 0.630
epoch: 23, epoch_time: 37m24s, train_loss: 0.018, best_loss: 0.018, lr: 0.002, train_mIoU: 0.650, best_train_mIoU: 0.650, valid_mIoU: 0.631, best_valid_mIoU: 0.631
epoch: 24, epoch_time: 37m30s, train_loss: 0.018, best_loss: 0.018, lr: 0.002, train_mIoU: 0.648, best_train_mIoU: 0.650, valid_mIoU: 0.630, best_valid_mIoU: 0.631
epoch: 25, epoch_time: 37m32s, train_loss: 0.018, best_loss: 0.018, lr: 0.002, train_mIoU: 0.640, best_train_mIoU: 0.650, valid_mIoU: 0.632, best_valid_mIoU: 0.632
